Plant,Disease,Symptom,Cause,Comment,Management
Apricot,Phytophthora root and crown rot,"Poor new growth; leaves chlorotic, small in size and sparse; fruit may be small, brightly colored and susceptible to sunburn; shoots may suffer from dieback and tree will often die within weeks or months of first signs of infection or decline gradually over several seasons; root crown may show signs of decay which develops into a canker; bark of infected crown tissue turns dark brown; cankers may occur on aerial parts of plant.",Oomycete,Severity of disease is linked to soil moisture content; water-saturated soils promote development of fungus.,Plant trees on a small mound to promote drainage; avoid over-watering trees in spring; treat soil around newly planted trees with fungicide; minimize the frequency and duration of water saturated soil; trees should be propagated from resistant rootstock and application of appropriate systemic fungicides may provide some protection from the disease.
Apricot,Plum pox virus,"Pale green chlorotic spots, rings and lines on leaves which appear in early summer; pale rings, lines and spots on fruit; fruit flesh dry and flavorless; fruit may be markedly deformed.",Virus,Virus is transmitted by aphids but most common method of spread is diseased plant material.,Plant certified healthy material; remove infected trees from orchard; chemical sprays to control aphids may prolong spread of virus.
Apricot,European earwig,"Mature trees generally tolerate damage well; if damage is caused to shoot tips of young trees then growth may be stunted; shallow, irregularly shaped areas may be present on fruit surface where insect has fed; insects are brown and shiny with a pincer-like structure at the end of the abdomen; can reach 1.3 cm (0.5 in) in length.",Insect,Earwigs are nocturnal and generally undergo two generation per year.,"Remove all weeds from around tree bases; remove all pruning debris and loose bark around trees; wrapping trunks tightly with plastic wrap before nymphs emerge can stop them climbing up the tree; if using insecticide, apply early in Spring when earwigs begin to be active."
Apricot,Fruittree leafroller,Leaves of plant rolled and tied together with silk webbing; feeding damage to rolled leaves; defoliation of plant; silk webbing may also be present on fruits and fruits may have substantial scarring from feeding damage; larvae wriggle vigorously when disturbed and may drop from plant on a silken thread.,Insect,Only one generation of insect per year.,Monitor plants regularly for signs of infestation; remove weeds from plant bases as they can act as hosts for leafrollers; avoid planting pepper in areas where sugarbeet or alfalfa are grown nearby; Bacillus thuringiensis or Entrust SC may be applied to control insects on organically grown plants; apply sprays carefully to ensure that treatment reaches inside rolled leaves.
Apricot,Green fruitworm,Large holes chewed in leaves and fruit; pale green caterpillars with white stripe down middle of back present on leaves and fruit.,Insect,Insect usually overwinters as adult moth and undergoes only one generation per year.,"If larva become damaging to trees then sprays of Bacillus thuringiensis will control young larvae effectively and can be applied during bloom; other organically acceptable control methods include application of Entrust; appropriate insecticides can be used as spot treatments if infestation is localized or applied shortly before, or during, petal fall."
Apricot,Mealy plum aphid,"High levels of infestation may cause stunted vegetative growth; black soot mold developing on leaves and branches; insect is small and soft-bodied, green in color and covered in white, mealy wax.",Insect,Infestations usually appear in small pockets in orchards; insect eggs overwinter and hatch in Spring.,Organically grown trees can be sprayed with neem oil to control aphid populations; chemical control of the aphid is rarely necessary.
Apricot,Peach twig borer,"Death of shoot tips; feeding damage to fruit, usually at stem end; larvae are dark brown and white with a black head; adult insect is a gray-brown moth.",Insect,Peach twig borers overwinter as larvae in a specialized cell known as a hibernaculum; overwintering sites are located in rough areas of bark on 1 to 4 year old wood in crotch of limbs.,Most effective method of treatment is well-timed applications of insecticide around time of bloom; organically acceptable insecticides include Bacillus thuringiensis or Entrust; infestations can also be treated with appropriate organophosphate or pyrethroid insecticides.
Artichoke,Artichoke curly dwarf virus,Plant growth reduced; plant lacking vigor; leaves may be distorted with dark necrotic spots and/or patches; deformed buds,Virus,Currently not known how virus is spread; use disease free crowns to propagate or certified seed,Use only certified planting material; remove and destroy infected plants to limit spread
Artichoke,Bacterial crown rot,Stunted plant growth; wilted leaves in high temperatures; plant collapse; new leaves do not expand and turn brown and dry; crown tissue becomes soft and rots; black discoloration when cross-section of stem taken.,Bacterium,May be spread by cutting tools; digging and splitting crowns may cause new plantings to become infected.,Do not use infected crowns as planting material; start plants from seed or disease free transplants.
Artichoke,Botrytis rot or gray mold,Crown of plant slimy and foul smelling; fuzzy white to gray mold present.,Fungus,More prevalent when rainfall is high.,"Plant in light, well-draining, fertile soils; avoid overcrowding plants and planting seeds too deeply; do not wet foliage when watering, water plants at base; remove crop debris from soil after harvest."
Artichoke,Fusarium Wilt,"Wilting, yellowing, and stunted growth.",Fungus,,"Practise crop rotation, planting disease-resistant varieties, and ensuring proper soil drainage."
Artichoke,"Armyworms (Beet armyworm, Yellow striped armyworm)","Singular, or closely grouped circular to irregularly shaped holes in foliage; heavy feeding by young larvae leads to skeletonized leaves; shallow, dry wounds on fruit; egg clusters of 50-150 eggs may be present on the leaves; egg clusters are covered in a whitish scale which gives the cluster a cottony or fuzzy appearance; young larvae are pale green to yellow in color while older larvae are generally darker green with a dark and light line running along the side of their body and a pink or yellow underside.",Insect,Insect can go through 3–5 generations a year.,Organic methods of controlling armyworms include biological control by natural enemies which parasitize the larvae and the application of Bacillus thuringiensis; there are chemicals available for commercial control but many that are available for the home garden do not provide adequate control of the larvae.
